failure_id,machine_id,failure_date,failure_type,severity,failure_description
FAIL-00033,MCH-003-01-03,2026-01-29,Mechanical Wear,High,Synthetic machine failure generated for testing.
FAIL-00034,MCH-003-01-04,2026-01-25,Mechanical Wear,Medium,Synthetic machine failure generated for testing.
FAIL-00035,MCH-003-02-01,2026-01-10,Excessive Vibration,Medium,Synthetic machine failure generated for testing.
FAIL-00036,MCH-003-02-02,2026-01-29,Excessive Vibration,Medium,Synthetic machine failure generated for testing.
FAIL-00037,MCH-003-02-03,2026-01-08,Electrical Fault,Medium,Synthetic machine failure generated for testing.
FAIL-00038,MCH-003-02-03,2026-01-22,Overheating,High,Synthetic machine failure generated for testing.
FAIL-00039,MCH-003-02-04,2026-01-03,Electrical Fault,High,Synthetic machine failure generated for testing.
FAIL-00040,MCH-003-02-04,2026-01-22,Excessive Vibration,High,Synthetic machine failure generated for testing.
FAIL-00041,MCH-003-02-04,2026-01-28,Mechanical Wear,Critical,Synthetic machine failure generated for testing.
FAIL-00042,MCH-003-03-03,2026-01-05,Overheating,High,Synthetic machine failure generated for testing.
FAIL-00043,MCH-003-03-03,2026-01-17,Excessive Vibration,High,Synthetic machine failure generated for testing.
FAIL-00044,MCH-003-03-03,2026-01-25,Overheating,Medium,Synthetic machine failure generated for testing.
FAIL-00045,MCH-003-03-04,2026-01-05,Overheating,Medium,Synthetic machine failure generated for testing.
FAIL-00046,MCH-003-03-04,2026-01-09,Mechanical Wear,High,Synthetic machine failure generated for testing.
FAIL-00047,MCH-004-01-01,2026-01-07,Excessive Vibration,High,Synthetic machine failure generated for testing.
FAIL-00048,MCH-004-01-01,2026-01-15,Excessive Vibration,Medium,Synthetic machine failure generated for testing.
FAIL-00049,MCH-004-01-01,2026-01-28,Electrical Fault,Critical,Synthetic machine failure generated for testing.
FAIL-00050,MCH-004-01-03,2026-01-20,Excessive Vibration,Medium,Synthetic machine failure generated for testing.
FAIL-00051,MCH-004-01-04,2026-01-17,Excessive Vibration,High,Synthetic machine failure generated for testing.
FAIL-00052,MCH-004-02-02,2026-01-26,Excessive Vibration,Critical,Synthetic machine failure generated for testing.
FAIL-00053,MCH-004-02-03,2026-01-15,Mechanical Wear,Medium,Synthetic machine failure generated for testing.
FAIL-00054,MCH-004-02-04,2026-01-11,Mechanical Wear,Medium,Synthetic machine failure generated for testing.
FAIL-00055,MCH-004-03-01,2026-01-15,Mechanical Wear,Medium,Synthetic machine failure generated for testing.
FAIL-00056,MCH-004-03-04,2026-01-10,Excessive Vibration,Critical,Synthetic machine failure generated for testing.
FAIL-00057,MCH-004-03-04,2026-01-15,Overheating,Medium,Synthetic machine failure generated for testing.
FAIL-00058,MCH-004-03-04,2026-01-19,Mechanical Wear,High,Synthetic machine failure generated for testing.
FAIL-00059,MCH-005-01-04,2026-01-06,Electrical Fault,High,Synthetic machine failure generated for testing.
FAIL-00060,MCH-005-02-01,2026-01-16,Excessive Vibration,Medium,Synthetic machine failure generated for testing.
FAIL-00061,MCH-005-02-03,2026-01-22,Electrical Fault,High,Synthetic machine failure generated for testing.
FAIL-00062,MCH-005-03-03,2026-01-03,Mechanical Wear,Medium,Synthetic machine failure generated for testing.
FAIL-00063,MCH-005-03-03,2026-01-06,Mechanical Wear,Medium,Synthetic machine failure generated for testing.
FAIL-00064,MCH-005-03-04,2026-01-10,Electrical Fault,Medium,Synthetic machine failure generated for testing.
